source,dataset,attack,model,metric,n,mean_delta_auc,std_delta_auc,ci95_low,ci95_high,privacy_improvement_seed_count,exact_sign_p_one_sided,interpretation
seed_stability,bnci2014_001,learned(mlp),adversarial_eegnet (constant@1.00),attack_auc,4,0.01309618537808642,0.03349993220365198,-0.04020968235630635,0.06640205311247918,1,0.9375,no-privacy-improvement
seed_stability,bnci2014_001,learned(mlp),bottleneck_eegnet (dim=6),attack_auc,4,0.014277705439814825,0.026220697288133483,-0.027445275163483926,0.056000686043113576,2,0.6875,no-privacy-improvement
seed_stability,bnci2014_001,learned(mlp),"adversarial_eegnet (linear_ramp@1.00, ramp=0.40)",attack_auc,4,0.019689489293981496,0.05592976741421869,-0.06930725153741273,0.10868623012537572,1,0.9375,no-privacy-improvement
seed_stability,bnci2014_001,threshold(label-known),adversarial_eegnet (constant@1.00),attack_auc,4,-0.038672929928626504,0.0142662977814189,-0.06137379326090733,-0.015972066596345674,4,0.0625,directionally-supported
seed_stability,bnci2014_001,threshold(label-known),csp_lda,attack_auc,4,-0.025327329282407413,0.014476095037624937,-0.04836202686612408,-0.002292631698690744,4,0.0625,directionally-supported
seed_stability,bnci2014_001,threshold(label-known),"adversarial_eegnet (linear_ramp@1.00, ramp=0.40)",attack_auc,4,-0.008927333502121909,0.026379214622343633,-0.05090255055771096,0.03304788355346714,3,0.3125,promising-but-underpowered
seed_stability,bnci2014_001,threshold(label-known),bottleneck_eegnet (dim=6),attack_auc,4,0.00860520351080249,0.013585441527407136,-0.013012265586473625,0.030222672608078604,1,0.9375,no-privacy-improvement
seed_stability,bnci2014_001,threshold(max-prob),adversarial_eegnet (constant@1.00),attack_auc,4,-0.024255446445794734,0.03696013124742976,-0.08306726301139686,0.034556370119807396,3,0.3125,promising-but-underpowered
seed_stability,bnci2014_001,threshold(max-prob),csp_lda,attack_auc,4,-0.022222071518132755,0.012968242421389123,-0.04285743910812298,-0.0015867039281425264,4,0.0625,directionally-supported
seed_stability,bnci2014_001,threshold(max-prob),"adversarial_eegnet (linear_ramp@1.00, ramp=0.40)",attack_auc,4,-0.017420262466242287,0.02030380082062043,-0.04972814041864782,0.014887615486163248,3,0.3125,promising-but-underpowered
seed_stability,bnci2014_001,threshold(max-prob),bottleneck_eegnet (dim=6),attack_auc,4,0.0048820589795524755,0.015441794621658156,-0.019689282140774724,0.029453400099879675,2,0.6875,practical-tie
seed_stability,bnci2014_001,threshold(neg-entropy),adversarial_eegnet (constant@1.00),attack_auc,4,-0.0242716471354167,0.036959726768345545,-0.08308282008453527,0.03453952581370188,3,0.3125,promising-but-underpowered
seed_stability,bnci2014_001,threshold(neg-entropy),csp_lda,attack_auc,4,-0.02221981095679018,0.01296911441041107,-0.04285656607590098,-0.0015830558376793806,4,0.0625,directionally-supported
seed_stability,bnci2014_001,threshold(neg-entropy),"adversarial_eegnet (linear_ramp@1.00, ramp=0.40)",attack_auc,4,-0.01740067093460651,0.02028661133406728,-0.049681196578026644,0.014879854708813624,3,0.3125,promising-but-underpowered
seed_stability,bnci2014_001,threshold(neg-entropy),bottleneck_eegnet (dim=6),attack_auc,4,0.0048831892602237414,0.015444026925693348,-0.019691703953967993,0.029458082474415476,2,0.6875,practical-tie
bnci_lee_validation,lee2019_mi,validation:subject-id,bottleneck_eegnet,subject_id_accuracy,4,-0.23395833333333332,0.057459224672806015,-0.32538878196556825,-0.1425278847010984,4,0.0625,directionally-supported
bnci_lee_validation,lee2019_mi,validation:subject-id,csp_lda,subject_id_accuracy,4,-0.03395833333333334,0.040135044029616575,-0.09782214462557058,0.0299054779589039,3,0.3125,promising-but-underpowered
